"id","profileName","text","date","title","rating","images","helpful","variant:pattern","variant:style"
"R502RF7DUUKBT","Chris H","I decided the difference between the i7 and the i9 didn't justify the price difference, considering I was already getting about 1/3 more performance than my 12th generation i9. I wanted plenty of motherboard resources so I also bought the MSI MEG Z790 ACE, 32 GB of Kingston Fury 6400MT/s DDR5 and a 2TB Samsung 990 NVMe drive.Cooling had been a slight issue with the 12th generation i9, even with a 360mm AIO cooler, so I went custom loop. Along the way I found a GPU water cooler on sale and decided to install a lot of cooling. The Thermaltake 900 tower can take two 560mm radiators, but I wanted some disks, so I went for a 560x140 and a 280x140, both 45mm thick and backed by 6 fans. Four more fans feed air into the case and there's till plenty of clear space for more air to be dragged in.So what's the result? The processor runs at 85C worst case, and only two cores at that temperature. The fast DDR5 does make a significant difference. I initially ran it at 6GT/s then turned it up to 6.2 and finally 6.4. The last change is a 3.5% change in DDR5 speed and that gave me a 2.4% increase in system speed. I kept my old RTX3070 which used to run over 80C and now runs at 62C worst case. So despite more performance the system runs a lot cooler.I mostly run X-Plane 12, which runs the GPU and CPU very hard, continuously. After several hours the cooling water reached 36C and the worst core temperature was 85C. The processor just works. No stability issues with the standard settings on the MSI Z690 motherboard. There are three standard memory tuning options for 6.0, 6.2, and 6.4 GT/s and all work. This will do for me for a few years.","Reviewed in the United States on May 31, 2024","i7-14700K is a significant improvement from i9-12900K","5.0 out of 5 stars","https://m.media-amazon.com/images/I/715ewfylApL.jpg
https://m.media-amazon.com/images/I/71Rqs0TXe3L.jpg
https://m.media-amazon.com/images/I/71qa7xxrDGL.jpg","2","Processor","Core™ i7-14700K"
"R2FLCRTOTFGFTM","Deven","This professional CPU isn't designed for the average user. However, if you're a tinkerer at heart, eager to dive deeper than the surface-level information often presented in YouTube ""videos"" (or should we say, commercials), this is unquestionably for you. I've acquired multiple units for various builds/configurations from a wide array of retailers—Best Buy, Newegg, and others included.For those considering making a purchase, I highly recommend using an Apex/Apex Encore MOBO or another reputable 2 DIMM board, particularly for AM5 or LGA1700, if overclocking is your goal. A high-quality cooler is crucial; for those opting for an AIO, ensure it includes at least an 8th gen Asetek pump and a 360 Thickboy copper radiator with performance fans—Avoid the aesthetically pleasing but functionally inferior Lian Li reversed SL Infinity Fans. Genuine static pressure fans, capable of efficiently doing the job, are what you need. Despite what your favorite YouTuber might suggest, you should prioritize efficiency over aesthetics.When selecting DDR5, opt for GOOD BINNED options. If a high-binned QVL compatible set isn't your choice, at a minimum, go for HYNIX A for single rank and HYNIX M for dual rank.The 14900K, when expertly tuned, becomes a gaming and multitasking powerhouse—achieving 43 to 44k in R23, with 6.2GHz boosting, 5.9GHz across its 8 physical cores and 8 threads, and 16 physical e-cores at 4.7GHz for a total of 32 threads, of which only 8 are virtual. With hyper-threading and e-cores enabled, it supports 8200 to 8400 MTS CL38 DDR5 RAM, boasts sub-55ns bus latency, and sub-9.3ns FWL. It's a marvel in Aida64 full, minus SSD, burn-in stress test stability. Adjusting all cores down to 5.8 and boosting to 6.0 can further reduce bus latency to easily below 50ns...Did I mention overall CPU temperatures typically remain between 35 to 40°C under heavy gaming loads, rarely exceeding 50°C? Despite the capability of 3 EATX connections to easily deliver over 400W of power, I'd advise against exceeding 325W daily, as the performance gains beyond this point are minimal without extreme overclocking and cooling methods—increased voltage requirements could significantly shorten the lifespan of your CPU. For tinkerers, this CPU is a dream come true.As of this date—4-4-2024: We anticipate future silicon manufacturing constraints will evolve, but that's a discussion for another time.The X3D Elephant in the room: Don't worry, I own one, and this is about science, not purchase bias...We'll sidestep intricate discussions about CLDO, FCLK, and MCLK concerns, and why the substantial L3 cache has become an essential workaround for the instability caused by chiplet-based IMC in handling DDR5 for gamers. If the augmentation of the L3 cache wasn't primarily to address DDR5 issues stemming from the chiplet design, why not significantly enhance and accelerate the L1 cache? The design doesn't allow for it since it's not monolithic, which wouldn't be practical. Those well-versed in the subject matter understand this. While chiplets represent the future, we must acknowledge that this future hasn't fully materialized for every aspect of computing, allowing us to look beyond the ""normie YouTuber AMD cults.""Indeed, I own a 7800X3D build and absolutely adore it! It excels in gaming... primarily in GAMING! Thus, there's no cause for concern. Let's briefly touch on the ""benefits"" like reduced thermals and supposed platform longevity (as if motherboard chipset upgrades and advancements in power delivery methods don't occur... humor me, over the planned 6 years). I, too, long for Z390 features on my Z790 board (/end sarcasm), not to mention the potential for longer boot times when tinkering with DDR5 or PBO, or even under normal conditions, and texture stutter/tearing... oops, and all those other delightful topics Lisa tends to highlight without addressing the influence of influencers with communications degrees rather than computer science degrees.  Just having fun, do what you love!I don't blame Amazon, Intel, AMD, or Nvidia more than the other. Manufacturing and shipping issues happen. The chip I received from Amazon didn't meet my expectations, but my other purchases have been exceptional. By chance alone, the other four 14900Ks I've received from various distributors have been stellar!Note:Settings in pictures are daily driven....No stability concerns all AIDIA 64 Stress tested for multiple hours and hundreds of gaming/workload hours.  I can get bus latency down to under 50NS but need to decrease core clock to locked 5.8GHZ to stay at safe voltage....  Depends what needs done, either/or is screaming fast even 55ns at that Bandwidth.","Reviewed in the United States on April 4, 2024","6.2GHZ 8200mts cl38 Daily Driver.","5.0 out of 5 stars","https://m.media-amazon.com/images/I/51RGUkw89iL.jpg
https://m.media-amazon.com/images/I/51S3N3GexZL.jpg
https://m.media-amazon.com/images/I/51S4EndNSSL.jpg","17","Processor","Core™ i9-14900K"
"R29AWRHLI4MVWV","Austin","A lot of people are upset with the 14900k because of the minimal performance leap thar came between it and the 13900k. I say who cares. If you have a 13900k, don't upgrade, but if you have an older PC or 12th Gen, this is a worthy upgrade. I absolutely love mine. It's a monster of a CPU.I honestly don't recommend air cooling it. It can get pretty hot and there are only a small handful of air coolers that can handle this 14900k without setting power limits (which most people don't know how to do, let alone even know what that means)If you're not doing a custom water loop to cool your 14900k, I recommend you do what I've done to cool mine, you dont neeeed to, but it helps. I have an AIO (All-In-One Cooler) and I setup a push-pull configuration on my radiator. That means I have 3 fans on the bottom blowing in through the radiator, and 3 more fans blowing up and out of the case. Both are blowing upward. It creates more airflow. One side is pushing the air, the other side is helping pull that air through. Then I got a thermalright contact frame. Any LGA 1700 contact frame should work but the thermalright version is cheap. It might say 12th/13th Gen but it will also work on 14th Gen. So get an AIO, setup a push-pull fan configuration and get a contact frame. It's helping my Temps significantly. I typically stay in the high 50's or low 60's during 4K gaming. This CPU draws a ton of power so you might see it bump up to 80⁰ occasionally, for a very brief moment. (Maybe 1 second or less)","Reviewed in the United States on December 7, 2023","It's the perfect fit for this monster PC I just built.","5.0 out of 5 stars","https://m.media-amazon.com/images/I/71HrkhFrpTL.jpg","8","Processor","Core™ i9-14900K"
"RPJDOZU4NH0XO","JZ the reviewer","I'm not going to go over the same performance reviews others have done, yes its very fast for only $550 its the king of the poor mans build PC. my last PC its replacing was a $1000 10980xe and looking at the numbers the 14900k in average is 70-77% faster than the 10980xe. the only disadvantage between the 2 was the 10980xe had 48 PCIe lanes and ran 32c to 56c hot.i can't say the same about the 14900k heat, its spreader is almost half of the 10980xe. you can't just simply add a stock cooler or a ""MC'watercooler"" and expect the problem will solve itself. this is the first CPU in my 26 yrs of building PC's you have to plan out your cooler set up.ever since a 2012 water leak from these Mc'watercoolers (all in one 2 fan radiator kits sold by name brands) Ive never trusted them cost me $1500 in damages. The only water coolers that don't leak for me were the ones i built but water cooling is expensive and you have to inspect them at least every 3 months for debris in the tank or leaks. with air i only have to clean the pc 2x a year.yes you can control temps with an air cooler, and get the same temps as a 3 fan radiator water cooler. I'll post the results without adding a watt limit in the mobo post screen.here is the parts i bought to air cool running the new cinabench 2024 for 30 mins i can get max performance on a defualt non OC not hitting above 99C on the P cores1. Noctua NH-D15 chromax.Black | Dual-Tower CPU Cooler | 140mm | Black2. Noctua NF-A15 HS-PWM chromax.Black.swap (this adds a 3rd fan for the air cooler you'll need it)3. FDXGYH 4 Pcs CPU Heatsink Fan Buckle PC Mainboard CPU Radiator Fan 12CM Wire Buckle Upper Hook Type Fixing Clip  (these buckles are compatible with noctus 140mm fans)4. Easycargo 40mm Heatsink Kit 40mmx40mmx20mm (this you place on the flat base of the noctua cooler will help dissipate heat)5. Easycargo 100pcs Heatsink Assortment Kit Small Cooler Aluminum Heat (these you throw on the back of your mobo on and around the mount brackets you'll me amazed how adding heat sinks on the back of the mobo will reduce temps)6. Thermal Grizzly Kryonaut (this is the best thermal grease cooler by 1-2c cooler than artic silver mx 6)7. Thermalright Intel 12th/13th Generation LGA1700 Anti-Bending Buckle ( a must add a little thermal grease on the cpu side flaps this buckle is 100% aluminum will al help dissipate heat.then i went to my mother board software options (mobo is an MSI MEG Z790 ACE MAX) select ""CPU cooler tuning"" select ""tower air cooling"" which will limit the wattage draw to under 300w also note if you are not using a Water Cooling Reservoir  you should also use this option, water cooling a 14900k and OC really does require a reservoir, and a 4x 120 fan size radiator if you're simply using a pre-built 2x fan radiator its not enough to handle the 14900k and the CPU is known for drawing 370w plus!!so using air cooled i got a 2371 score with no watt limiter option an temps were 78-100c on the p cores, and with the 300 watt limit the score was  2328 with temps 70-99c never hit 100c case the limiter would kick in. (note this is from CPU testing that punishes the CPU realistically i don't see this CPU going over 88c even on the most demanding game in 3 years.i personally do not recommend OC this CPU its already been pushed to its limits by INTEL at best for another 100 watts when all you're getting is 3-4 more FPS and that's not worth it. and all these people bragging a 6.2-6.5ghz OC, there just flexing for clout, then they take the CPU back to default. i already have my P cores spiking to 6.002 at 288-300 watts, and under 99c temps; adding 0.198mhz will meaning nothing for apps and gaming.personal note the MSI MEG Z790 ACE MAX Gaming Motherboard is absolutely amazing at squeezing out all the performance of the 14900k worth the $700 price never crashed during testing that 26 power phases is godly  compared to my last gen EVGA x299 dark had 12 phase...RIP EGA :(","Reviewed in the United States on February 11, 2024","IF YOU WANT THE AIR COOLED OPTION","5.0 out of 5 stars","https://m.media-amazon.com/images/I/7125D4RdR9L.jpg
https://m.media-amazon.com/images/I/717jB4MSzkL.jpg
https://m.media-amazon.com/images/I/718WYbFTzAL.jpg
https://m.media-amazon.com/images/I/71PA6gBntmL.jpg
https://m.media-amazon.com/images/I/71TmggWROGL.jpg
https://m.media-amazon.com/images/I/71hi6tAspzL.jpg
https://m.media-amazon.com/images/I/81pvdJsYBWL.jpg","14","Processor","Core™ i9-14900K"
"R2GZ1S88XY5D4X","Cole P.","Works great in new build! Only slight issue is I felt like there wasn't quite enough thermal paste... I had some leftover from a previous build so I added some additional just to be safe.","Reviewed in the United States on June 20, 2024","Super Powerful CPU","5.0 out of 5 stars","https://m.media-amazon.com/images/I/81xEnJ+7l+L.jpg","0","Processor","Core™ i9-14900KF"
"R2ZQH9GQ4BJJLB","MrDanglez","Switching from a 5800x3d for my 4080 super.. this is one heck of a cpu. I only put a $60 280mm aio ""I'd cooling"" and put it on smart fan. After that gaming has been a breeze with crazy high fps that give me 99% GPU usage in every game. Jedi survivor is getting over 130fps with dlss quality on. Which is unheard of from everything I read. Totally glad I went with this over 7800x3d. Mobo was much cheaper with every bell and whistle I wanted. My newest build is definitely nice enough to leave any builder drooling.. Thanks to this cpu at its core.","Reviewed in the United States on May 1, 2024","Simply awesome","5.0 out of 5 stars","https://m.media-amazon.com/images/I/61yYt0LjgRL.jpg
https://m.media-amazon.com/images/I/71ZfyQkiHCL.jpg","0","Processor","Core™ i7-14700K"
"R15RL1C2B1BRZ0","Xiong, C.","Case: GOPIE Micro ATX Case T07 (branded as ABIT on the case)Motherboard: MSI MAG B760m Mortar WIFI IICPU: I9 14900kCPU Cooler: ID-COOLING SE-207-XT SlimDDR5: 64Gb T-Team Create Expert 6000Mhz (4 x 32Gb)3 x m.2 Gen4: Lexar - 1 x 512GB (OS)/1 x 1TB/1 x 2TBSSD: 1 x 4TB CrucialCase Fans: Thermalright TL-9015B CPU Cooler Fan 92mm (2 x Intake Bottom/2 x Exhaust Top/1 x Exhaust rear)PSU: Montech Century Mini 750w GoldGPU: N/AThe I9 14900k is a beast and runs hot. While doing benchmarks, a few Pcores would hit 100c while others would hit 92c. Ecores was about 87c and low of 83c on 4.3Ghz all Pcore and 4.2Ghz all Ecore. Offset voltage was at 0.3. After switching back to auto clock, I still managed the same temps, but getting 5.1-5.2Ghz on Pcore and 4.3 on Ecore. If my case allowed 120mm fans, I would of most definitely installed 240mm AIO cooler. That for sure would of helped with the temps and get me higher benchmark numbers.When it came to rendering a 20 minute 4k video on sony Vegas Pro 18 (IGPU only), it took about 15 minutes to complete it vs my I9 9900k that would of taken over an hour to finish it (RTX 3060). This system was meant specifically VR/light video editing. So, considering how fast it is on the rendering without a dedicated GPU, I am pretty excited about it. I haven't tried the VR aspect yet.Overall, if you are coming from a few gen older CPU and want to upgrade to the 14900k, you wont be disappointed.","Reviewed in the United States on January 24, 2024","This is a Beast","5.0 out of 5 stars","https://m.media-amazon.com/images/I/71S6feCW-dL.jpg
https://m.media-amazon.com/images/I/71gGdY1GSzL.jpg","0","Processor","Core™ i9-14900K"
"R2JIZ4V3O7DXAY","YimYorn","Upgrading from a 10700KF to 14700K. Lots of forms posts are degrading this processor but I’m here to tell you it’s well worth the money! Just make sure to go to your BIOS and limit the power to 253W. The whole heat of this chip is blown out of proportion. I haven’t gotten heat issues while gaming.Overall I have this chip paired with a 3090, while I’ll wait for a new 50 series card.Some of the gains I’ve gotten at @1440P, 45 in ultra wide 21:9, max graphics settings:Overwatch: overall 50fps gain, consistent 240hz capped out for my monitor.Black Desert Online: overall 35-40 fps gains.These are the games I normally play a lot and it’s truly notice when upgrading to this chip. Overall the computer is a snappy and fast and haven’t notice any hiccups. Really great chip and planning on keeping this for the next 4-5 years.","Reviewed in the United States on April 5, 2024","Great Performance!","5.0 out of 5 stars","https://m.media-amazon.com/images/I/71QS-0JqVFL.jpg","2","Processor","Core™ i7-14700K"
"R1FJIVVOLHTUOL","Pappy","I upgraded from an i9 - 11900K.  Pretty good performance increase on benchmarks.  I haven't gamed on it yet (still in the process of locking down cables and loose hardware)MB GIGABYTE Z790 AORUS PRO X","Reviewed in the United States on May 19, 2024","Use a good cooling system - I've got it under a 240 AIO with Diamond paste","5.0 out of 5 stars","https://m.media-amazon.com/images/I/718yK5FvlJL.jpg
https://m.media-amazon.com/images/I/719xs08iUhL.jpg","0","Processor","Core™ i9-14900K"
"R3T7LYZ10XISCD","Kam Stewart","upgraded my pc from a 8700k to this bad boy. exceptional speeds and performance. temps are good and tasks are loading super fast !","Reviewed in the United States on May 12, 2024","huge upgrade","5.0 out of 5 stars","https://m.media-amazon.com/images/I/71mQTqClw0L.jpg","0","Processor","Core™ i7-14700K"
