"id","profileName","text","date","title","rating","images","helpful","variant:pattern name","variant:style name"
"R2CJA22T4D0J5P","Amey","Motherboard (Gigabyte z790 ud ac) not detecting cpuThe packaging was worst..Go to store instead, test it and buy it.Don't buy!","Reviewed in India on 25 June 2024","Worst! Gave me used and defective product.","1.0 out of 5 stars","https://m.media-amazon.com/images/I/71H0-qGjWAL.jpg
https://m.media-amazon.com/images/I/71uPnziAJ+L.jpg","0","Processor","Core™ i7-14700K"
"R1RMSO9THMF22O","Mergatroid","I was using a 10700K. I decided it was time..well, actually I got the itch.I decided to go with the 14700K for a few reasons. One is that it's the only 14th gen part from Intel that got a significant upgrade (four more e-cores and 8 more threads, plus a small clock boost).I also don't like that the 3DFX part from AMD had caused some minor issues for people, and I definitely don't like the RAM issues I see all the time on AMD systems. If it wasn't for the RAM issues, I may have gone AMD this time. Out of all the Intel systems I have assembled for customers over the years, I have not once come across a RAM issue that wasn't caused by bad RAM.This CPU is working perfectly, and gaming excellently. Gaming benchmarks show it to be a very good CPU, and I am not having any issues with it.If you are interested in any other Intel parts, I suggest going with 13th gen as you will basically get the same part for less money. For an i7 system though, this is an excellent CPU and a half decent upgrade over the previous gen.","Reviewed in Canada on 8 December 2023","The only real upgraded 14th gen part","5.0 out of 5 stars","https://m.media-amazon.com/images/I/71vPc68JGaL.jpg","2","Processor","Core™ i7-14700K"
"R1TH23IXLK5MAL","Lyric Morris","Not buying a cpu from this seller again wen my order came I opened the box and the cpu was not in the box even tho it still has the factory seal wast of almost 1k bucks","Reviewed in Canada on 1 December 2023","Bad product","1.0 out of 5 stars","https://m.media-amazon.com/images/I/71ENX8ZZNgL.jpg
https://m.media-amazon.com/images/I/71PO3SjzV+L.jpg","2","Processor","Core™ i9-14900KF"
"R2ORFTJTXRTX1C","Sean","Der Intel i9-14900K ist eine beeindruckende Weiterentwicklung des i9-12900KF.Der spürbare Leistungsanstieg, den ich erfahren habe, ist beachtlich und zeigt die Fortschritte in der Technologie.Die Kombination mit der Asus Apex Encore und dem schnellen 7200 MHz Arbeitsspeicher liefert super  Ergebnisse, immerhin  konnte ich 41.000 Punkte im Cinebench R23 ohne Übertaktung erreichen.Die Kombination bietet eine solide Grundlage für anspruchsvolle Aufgaben und Gaming.Man sollte jedoch beachten , dass die genaue Leistung je nach Anwendung variieren kann.Insgesamt scheint der i9-14900K eine lohnende Investition zu sein, selbst wenn man vorher im Besitz der 12. Generation war.","Reviewed in Germany on 22 January 2024","Klasse Steigerung vom 12900kf !","5.0 out of 5 stars","https://m.media-amazon.com/images/I/71+uZ1ZsiIL.jpg
https://m.media-amazon.com/images/I/71L5flFlVVL.jpg
https://m.media-amazon.com/images/I/71LDkmpOwXL.jpg
https://m.media-amazon.com/images/I/8152mYOI66L.jpg
https://m.media-amazon.com/images/I/81kMPwZwUfL.jpg","0","Processor","Core™ i9-14900K"
"RNMDB7NXG4NPQ","Kindleのお客様","13600Kとほとんど差がなく酷評されていますが、お値段もほぼ差がないのでどちらを選んでも良いと思います。実用的な面で言うと、パルワールドを最高画質設定で起動(更に拠点パル数最大＆観賞用ケージ複数設置)かつ、iPadからモバイルゲーム画面取り込み、OBSで複数シーン構成で配信、Tiktok live studioで1080P60 8000kbpsで配信、コメント読み上げ(わんコメ、Voicebox, 棒読みちゃん)起動、Androidのエミュレータ起動この条件下でCPU使用率はまだ半分ほど余裕があり温度も60℃に達しません。(RAM20GB、VRAM9GB使用)CPU以外のパーツの構成にもよりますが、十分使えるCPUと言えると思います。追記添付画像は実際にパルワールドを最高画質設定で起動し各種配信ツールを起動させている状態でのスコアです。","Reviewed in Japan on 13 March 2024","酷評されているけど","4.0 out of 5 stars","https://m.media-amazon.com/images/I/71hcUJ-jK2L.jpg","4","Processor","Core™ i5-14600KF"
"R2FLCRTOTFGFTM","Deven","This professional CPU isn't designed for the average user. However, if you're a tinkerer at heart, eager to dive deeper than the surface-level information often presented in YouTube ""videos"" (or should we say, commercials), this is unquestionably for you. I've acquired multiple units for various builds/configurations from a wide array of retailers—Best Buy, Newegg, and others included.For those considering making a purchase, I highly recommend using an Apex/Apex Encore MOBO or another reputable 2 DIMM board, particularly for AM5 or LGA1700, if overclocking is your goal. A high-quality cooler is crucial; for those opting for an AIO, ensure it includes at least an 8th gen Asetek pump and a 360 Thickboy copper radiator with performance fans—Avoid the aesthetically pleasing but functionally inferior Lian Li reversed SL Infinity Fans. Genuine static pressure fans, capable of efficiently doing the job, are what you need. Despite what your favorite YouTuber might suggest, you should prioritize efficiency over aesthetics.When selecting DDR5, opt for GOOD BINNED options. If a high-binned QVL compatible set isn't your choice, at a minimum, go for HYNIX A for single rank and HYNIX M for dual rank.The 14900K, when expertly tuned, becomes a gaming and multitasking powerhouse—achieving 43 to 44k in R23, with 6.2GHz boosting, 5.9GHz across its 8 physical cores and 8 threads, and 16 physical e-cores at 4.7GHz for a total of 32 threads, of which only 8 are virtual. With hyper-threading and e-cores enabled, it supports 8200 to 8400 MTS CL38 DDR5 RAM, boasts sub-55ns bus latency, and sub-9.3ns FWL. It's a marvel in Aida64 full, minus SSD, burn-in stress test stability. Adjusting all cores down to 5.8 and boosting to 6.0 can further reduce bus latency to easily below 50ns...Did I mention overall CPU temperatures typically remain between 35 to 40°C under heavy gaming loads, rarely exceeding 50°C? Despite the capability of 3 EATX connections to easily deliver over 400W of power, I'd advise against exceeding 325W daily, as the performance gains beyond this point are minimal without extreme overclocking and cooling methods—increased voltage requirements could significantly shorten the lifespan of your CPU. For tinkerers, this CPU is a dream come true.As of this date—4-4-2024: We anticipate future silicon manufacturing constraints will evolve, but that's a discussion for another time.The X3D Elephant in the room: Don't worry, I own one, and this is about science, not purchase bias...We'll sidestep intricate discussions about CLDO, FCLK, and MCLK concerns, and why the substantial L3 cache has become an essential workaround for the instability caused by chiplet-based IMC in handling DDR5 for gamers. If the augmentation of the L3 cache wasn't primarily to address DDR5 issues stemming from the chiplet design, why not significantly enhance and accelerate the L1 cache? The design doesn't allow for it since it's not monolithic, which wouldn't be practical. Those well-versed in the subject matter understand this. While chiplets represent the future, we must acknowledge that this future hasn't fully materialized for every aspect of computing, allowing us to look beyond the ""normie YouTuber AMD cults.""Indeed, I own a 7800X3D build and absolutely adore it! It excels in gaming... primarily in GAMING! Thus, there's no cause for concern. Let's briefly touch on the ""benefits"" like reduced thermals and supposed platform longevity (as if motherboard chipset upgrades and advancements in power delivery methods don't occur... humor me, over the planned 6 years). I, too, long for Z390 features on my Z790 board (/end sarcasm), not to mention the potential for longer boot times when tinkering with DDR5 or PBO, or even under normal conditions, and texture stutter/tearing... oops, and all those other delightful topics Lisa tends to highlight without addressing the influence of influencers with communications degrees rather than computer science degrees.  Just having fun, do what you love!I don't blame Amazon, Intel, AMD, or Nvidia more than the other. Manufacturing and shipping issues happen. The chip I received from Amazon didn't meet my expectations, but my other purchases have been exceptional. By chance alone, the other four 14900Ks I've received from various distributors have been stellar!Note:Settings in pictures are daily driven....No stability concerns all AIDIA 64 Stress tested for multiple hours and hundreds of gaming/workload hours.  I can get bus latency down to under 50NS but need to decrease core clock to locked 5.8GHZ to stay at safe voltage....  Depends what needs done, either/or is screaming fast even 55ns at that Bandwidth.","Reviewed in the United States on 4 April 2024","6.2GHZ 8200mts cl38 Daily Driver.","5.0 out of 5 stars","https://m.media-amazon.com/images/I/51RGUkw89iL.jpg
https://m.media-amazon.com/images/I/51S3N3GexZL.jpg
https://m.media-amazon.com/images/I/51S4EndNSSL.jpg","18","Processor","Core™ i9-14900K"
"R502RF7DUUKBT","Chris H","I decided the difference between the i7 and the i9 didn't justify the price difference, considering I was already getting about 1/3 more performance than my 12th generation i9. I wanted plenty of motherboard resources so I also bought the MSI MEG Z790 ACE, 32 GB of Kingston Fury 6400MT/s DDR5 and a 2TB Samsung 990 NVMe drive.Cooling had been a slight issue with the 12th generation i9, even with a 360mm AIO cooler, so I went custom loop. Along the way I found a GPU water cooler on sale and decided to install a lot of cooling. The Thermaltake 900 tower can take two 560mm radiators, but I wanted some disks, so I went for a 560x140 and a 280x140, both 45mm thick and backed by 6 fans. Four more fans feed air into the case and there's till plenty of clear space for more air to be dragged in.So what's the result? The processor runs at 85C worst case, and only two cores at that temperature. The fast DDR5 does make a significant difference. I initially ran it at 6GT/s then turned it up to 6.2 and finally 6.4. The last change is a 3.5% change in DDR5 speed and that gave me a 2.4% increase in system speed. I kept my old RTX3070 which used to run over 80C and now runs at 62C worst case. So despite more performance the system runs a lot cooler.I mostly run X-Plane 12, which runs the GPU and CPU very hard, continuously. After several hours the cooling water reached 36C and the worst core temperature was 85C. The processor just works. No stability issues with the standard settings on the MSI Z690 motherboard. There are three standard memory tuning options for 6.0, 6.2, and 6.4 GT/s and all work. This will do for me for a few years.","Reviewed in the United States on 31 May 2024","i7-14700K is a significant improvement from i9-12900K","5.0 out of 5 stars","https://m.media-amazon.com/images/I/715ewfylApL.jpg
https://m.media-amazon.com/images/I/71Rqs0TXe3L.jpg
https://m.media-amazon.com/images/I/71qa7xxrDGL.jpg","2","Processor","Core™ i7-14700K"
"RMFQ4JLJY0KHW","Eddie Cruz","De los mejores procesadores del mercado. Excelente para cualquier tipo de tarea exigente. Pero es importante combinarlo con una buena refrigeración líquida o tendrá cuello térmico.Tuve que pedirlo 2 veces porque el primero tenía un error de hardware muy común en estos procesadores, un problema en la compilación de shaders que crashea en algunos juegos o programas. El segundo que pedí llegó sin ningún problema.","Reviewed in Mexico on 9 April 2024","El GOAT","5.0 out of 5 stars","https://m.media-amazon.com/images/I/81dSw82O0tL.jpg","0","Processor","Core™ i9-14900K"
"R29AWRHLI4MVWV","Austin","A lot of people are upset with the 14900k because of the minimal performance leap thar came between it and the 13900k. I say who cares. If you have a 13900k, don't upgrade, but if you have an older PC or 12th Gen, this is a worthy upgrade. I absolutely love mine. It's a monster of a CPU.I honestly don't recommend air cooling it. It can get pretty hot and there are only a small handful of air coolers that can handle this 14900k without setting power limits (which most people don't know how to do, let alone even know what that means)If you're not doing a custom water loop to cool your 14900k, I recommend you do what I've done to cool mine, you dont neeeed to, but it helps. I have an AIO (All-In-One Cooler) and I setup a push-pull configuration on my radiator. That means I have 3 fans on the bottom blowing in through the radiator, and 3 more fans blowing up and out of the case. Both are blowing upward. It creates more airflow. One side is pushing the air, the other side is helping pull that air through. Then I got a thermalright contact frame. Any LGA 1700 contact frame should work but the thermalright version is cheap. It might say 12th/13th Gen but it will also work on 14th Gen. So get an AIO, setup a push-pull fan configuration and get a contact frame. It's helping my Temps significantly. I typically stay in the high 50's or low 60's during 4K gaming. This CPU draws a ton of power so you might see it bump up to 80⁰ occasionally, for a very brief moment. (Maybe 1 second or less)","Reviewed in the United States on 7 December 2023","It's the perfect fit for this monster PC I just built.","5.0 out of 5 stars","https://m.media-amazon.com/images/I/71HrkhFrpTL.jpg","8","Processor","Core™ i9-14900K"
"RVX1TU2PBCV2K","Amazon Kunde","Als es einen Monat und zwei Tage alt war,als ich Ai overclocked  trat Rauch auf, ich zog am PC-Kabel und hinterließ zwei Spuren auf meinem Motherboard. (Asus z690 Maximus extreme )  jetzt habe neuer motherboard und CPU bestellt , ich empfehle keinen","Reviewed in Germany on 4 May 2024","Rauch kam heraus","1.0 out of 5 stars","https://m.media-amazon.com/images/I/71EL1CLUMoL.jpg","0","Processor","Core™ i9-14900KF"
